match,match_day,live_ticker
Manchester united Vs Villarreal,09/29/21,https://www.goal.com/en/match/manchester-united-vs-villarreal/7o1vlxuqzjynefjfs15xi59n8
Salzburg vs Lille,09/29/21,https://www.goal.com/en/match/salzburg-vs-lille/7smaogvff7190qtqlud3gg4d0
Wolfsburg vs Sevilla,09/29/21,https://www.goal.com/en/match/wolfsburg-vs-sevilla/7spassdkpavrrpr874y0i62vo
Zenit vs Malmoe Ff,09/29/21,https://www.goal.com/en/match/zenit-vs-malmoe-ff/eufad2i42vqc3y39jklecckd0
Juventus vs Chelsea,09/29/21,https://www.goal.com/en/match/juventus-vs-chelsea/eucfbeei3x8eu1zyzs1wa5ic4
Club brugge Vs Manchester City,10/19/21,https://www.goal.com/en/match/club-brugge-vs-manchester-city/400qamkhlfn5jp2tfydnlak9g
Psg vs Rb Leipzig,10/19/21,https://www.goal.com/en/match/psg-vs-rb-leipzig/3zxrxiv23fmvawfso9ethk74k
Atletico madrid Vs Liverpool,10/19/21,https://www.goal.com/en/match/atletico-madrid-vs-liverpool/avhmom1lg8fqyph5f8yn4oftg
Porto vs Milan,10/19/21,https://www.goal.com/en/match/porto-vs-milan/avk4tw0iwoas0dh3yc6lpjz84
Besiktas vs Sporting Cp,10/19/21,https://www.goal.com/en/match/besiktas-vs-sporting-cp/2vpbrxg5xt69n7kjv9o3y8178
Ajax vs Borussia Dortmund,10/19/21,https://www.goal.com/en/match/ajax-vs-borussia-dortmund/2vs0mmt1zkk8561wuxu39qs5w
Internazionale vs Sheriff,10/19/21,https://www.goal.com/en/match/internazionale-vs-sheriff/9ud7de2eswh36ptlu047gl1ck
Shakhtar donetsk Vs Real Madrid,10/19/21,https://www.goal.com/en/match/shakhtar-donetsk-vs-real-madrid/9ua99hxpslkaywq8y47fdn8yc
Barcelona vs Dynamo Kyiv,10/20/21,https://www.goal.com/en/match/barcelona-vs-dynamo-kyiv/11s45bx7uwpmm77dwz18e01lg
Benfica vs Bayern Muenchen,10/20/21,https://www.goal.com/en/match/benfica-vs-bayern-muenchen/11uv14jv64kplg15rl5jyeyvo
Manchester united Vs Atalanta,10/20/21,https://www.goal.com/en/match/manchester-united-vs-atalanta/7o7o7d9ormwib7i0lqpivx9n8
Young boys Vs Villarreal,10/20/21,https://www.goal.com/en/match/young-boys-vs-villarreal/7o50br22s5eqrvaf63iszfdp0
Salzburg vs Wolfsburg,10/20/21,https://www.goal.com/en/match/salzburg-vs-wolfsburg/7ss8v4tg8qejy3ues1vrov6dw
Lille vs Sevilla,10/20/21,https://www.goal.com/en/match/lille-vs-sevilla/7sv8rdhzmqbyhoezg1ts27qxg
Chelsea vs Malmoe Ff,10/20/21,https://www.goal.com/en/match/chelsea-vs-malmoe-ff/eui8stsrjhw658rexep1kiyac
Zenit vs Juventus,10/20/21,https://www.goal.com/en/match/zenit-vs-juventus/eul6qgebtteqh8t8hjvafsftg
Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s
Dynamo kyiv Vs Barcelona,11/02/21,https://www.goal.com/en/match/dynamo-kyiv-vs-barcelona/1208ymim7oh5u0fozw93txs7o
Atalanta vs Manchester United,11/02/21,https://www.goal.com/en/match/atalanta-vs-manchester-united/7oajl2aneuxmdhr81173mtyj8
Villarreal vs Young Boys,11/02/21,https://www.goal.com/en/match/villarreal-vs-young-boys/7od2uen5cz88zpu29o0u8kefo
Wolfsburg vs Salzburg,11/02/21,https://www.goal.com/en/match/wolfsburg-vs-salzburg/7syd7r8dg2dboymoyepz6olqs
Sevilla vs Lille,11/02/21,https://www.goal.com/en/match/sevilla-vs-lille/7t1l5uqr3b4eau20hwz2eiyok
Malmoe ff Vs Chelsea,11/02/21,https://www.goal.com/en/match/malmoe-ff-vs-chelsea/euo39x1e4kxvls7652mjd7spg
Juventus vs Zenit,11/02/21,https://www.goal.com/en/match/juventus-vs-zenit/euqzieb0g92l04i7g2vqrj8r8
Rb leipzig Vs Psg,11/03/21,https://www.goal.com/en/match/rb-leipzig-vs-psg/406nrzuqglb88sbdtscjstu6s
Manchester city Vs Club Brugge,11/03/21,https://www.goal.com/en/match/manchester-city-vs-club-brugge/403rgm8ykwawu9tt9eajtttzo
Milan vs Porto,11/03/21,https://www.goal.com/en/match/milan-vs-porto/avpjmm0clsx9vbwp25v0wiwpg
Liverpool vs Atletico Madrid,11/03/21,https://www.goal.com/en/match/liverpool-vs-atletico-madrid/avmszz1b1mqb9frjmu7ouevpw
Borussia dortmund Vs Ajax,11/03/21,https://www.goal.com/en/match/borussia-dortmund-vs-ajax/2vurod0oiy1u15o2yj1ues07o
Sporting cp Vs Besiktas,11/03/21,https://www.goal.com/en/match/sporting-cp-vs-besiktas/2vxc6btnzwi53fa1jxhntbx90
Real madrid Vs Shakhtar Donetsk,11/03/21,https://www.goal.com/en/match/real-madrid-vs-shakhtar-donetsk/9ug1jqxq7v7c2ts42r3q0iihg
Sheriff vs Internazionale,11/03/21,https://www.goal.com/en/match/sheriff-vs-internazionale/9uir0gj9wjm4nk7ewaq6cmu50
Dynamo kyiv Vs Bayern Muenchen,11/23/21,https://www.goal.com/en/match/dynamo-kyiv-vs-bayern-muenchen/125z1xfqztura1dl4gy2a03ys
Barcelona vs Benfica,11/23/21,https://www.goal.com/en/match/barcelona-vs-benfica/1237go68zbelkzn4y3gev6ej8
Villarreal vs Manchester United,11/23/21,https://www.goal.com/en/match/villarreal-vs-manchester-united/7ofyw9krczs7goomitn1nxono
Young boys Vs Atalanta,11/23/21,https://www.goal.com/en/match/young-boys-vs-atalanta/7oil6zfx109c1aibx4jaclyj8
Lille vs Salzburg,11/23/21,https://www.goal.com/en/match/lille-vs-salzburg/7t7l2z6a9x57i87oqts5ty6fo
Sevilla vs Wolfsburg,11/23/21,https://www.goal.com/en/match/sevilla-vs-wolfsburg/7t4lfv2y05vdqvmhoxzfkmolw
Chelsea vs Juventus,11/23/21,https://www.goal.com/en/match/chelsea-vs-juventus/eutujuiexn9a4ulvzz0mhpmac
Malmoe ff Vs Zenit,11/23/21,https://www.goal.com/en/match/malmoe-ff-vs-zenit/euws9q8itomf8ijxpl72bnpxw
Club brugge Vs Rb Leipzig,11/24/21,https://www.goal.com/en/match/club-brugge-vs-rb-leipzig/40cf95umd9x3icd9le53xy42c
Manchester city Vs Psg,11/24/21,https://www.goal.com/en/match/manchester-city-vs-psg/409iyefp9jmhwy2dvuul0mec4
Atletico madrid Vs Milan,11/24/21,https://www.goal.com/en/match/atletico-madrid-vs-milan/avs81cri92de15i1jswg33pck
Liverpool vs Porto,11/24/21,https://www.goal.com/en/match/liverpool-vs-porto/avuukrfg26vn3nbwkf4q7royc
Besiktas vs Ajax,11/24/21,https://www.goal.com/en/match/besiktas-vs-ajax/2w7qfcq0bz0wa0a4fdp2njytw
Sporting cp Vs Borussia Dortmund,11/24/21,https://www.goal.com/en/match/sporting-cp-vs-borussia-dortmund/2waepmdsbj6ut3zijhmyyxous
Internazionale vs Shakhtar Donetsk,11/24/21,https://www.goal.com/en/match/internazionale-vs-shakhtar-donetsk/9ulgxapmqmum1ynar9aqn845w
Sheriff vs Real Madrid,11/24/21,https://www.goal.com/en/match/sheriff-vs-real-madrid/9uolgzxji8kwzvef1aly68zys
Rb leipzig Vs Manchester City,12/07/21,https://www.goal.com/en/match/rb-leipzig-vs-manchester-city/40il1i4jjzv00pd256fojwbo4
Psg vs Club Brugge,12/07/21,https://www.goal.com/en/match/psg-vs-club-brugge/40f8v01ackzf6tziovzrkz28k
Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es
Porto vs Atletico Madrid,12/07/21,https://www.goal.com/en/match/porto-vs-atletico-madrid/aw01wpz60yu5annjnzy0kfwgk
Ajax vs Sporting Cp,12/07/21,https://www.goal.com/en/match/ajax-vs-sporting-cp/2wfv8qqb44frru5m3nyekd4wk
Borussia dortmund Vs Besiktas,12/07/21,https://www.goal.com/en/match/borussia-dortmund-vs-besiktas/2wd5hkymuuwc199tirolu1ous
Real madrid Vs Internazionale,12/07/21,https://www.goal.com/en/match/real-madrid-vs-internazionale/9urc7ivikycv0hy2sgx1g5mok
Shakhtar donetsk Vs Sheriff,12/07/21,https://www.goal.com/en/match/shakhtar-donetsk-vs-sheriff/9utyowztb9u4643ap51cm9qtw
Bayern muenchen Vs Barcelona,12/08/21,https://www.goal.com/en/match/bayern-muenchen-vs-barcelona/128yfut2vqfx2wkwxvy3mqvx0
Benfica vs Dynamo Kyiv,12/08/21,https://www.goal.com/en/match/benfica-vs-dynamo-kyiv/12br06ktdmz56oys6s7zmfk7o
Manchester united Vs Young Boys,12/08/21,https://www.goal.com/en/match/manchester-united-vs-young-boys/7olhsx22yl91wx6h5werqsg0k
Salzburg vs Sevilla,12/08/21,https://www.goal.com/en/match/salzburg-vs-sevilla/7taj0kx4ge8xrq3pnmp1kzt3o
Wolfsburg vs Lille,12/08/21,https://www.goal.com/en/match/wolfsburg-vs-lille/7tddnydg0y973f4592dtzkw0k
Juventus vs Malmoe Ff,12/08/21,https://www.goal.com/en/match/juventus-vs-malmoe-ff/euzle371kfdg4kz8t99ubruhg
Zenit vs Chelsea,12/08/21,https://www.goal.com/en/match/zenit-vs-chelsea/ev2njmvm83ke98ogzpay1n5sk
Atalanta vs Villarreal,12/09/21,https://www.goal.com/en/match/atalanta-vs-villarreal/7oo5c19u4wyx9s08r8g4m7jtg
Psg vs Real Madrid,02/15/22,https://www.goal.com/en/match/psg-vs-real-madrid/poimt8p0uc8m169to05nxuz8
Sporting cp Vs Manchester City,02/15/22,https://www.goal.com/en/match/sporting-cp-vs-manchester-city/p4d9349cadj58t659v5g39ck
Internazionale vs Liverpool,02/16/22,https://www.goal.com/en/match/internazionale-vs-liverpool/pld91lkb3h3xtqn9ysla3wno
Salzburg vs Bayern Muenchen,02/16/22,https://www.goal.com/en/match/salzburg-vs-bayern-muenchen/p032zk8j19x96qw9w3x6ezo4
Chelsea vs Lille,02/22/22,https://www.goal.com/en/match/chelsea-vs-lille/pbr39zu13abq4hbvw4jrsm50
Villarreal vs Juventus,02/22/22,https://www.goal.com/en/match/villarreal-vs-juventus/pi7x3glafql3u5uhnjqn105w
Atletico madrid Vs Manchester United,02/23/22,https://www.goal.com/en/match/atletico-madrid-vs-manchester-united/pf15v919indsocrbpnrjuoes
Benfica vs Ajax,02/23/22,https://www.goal.com/en/match/benfica-vs-ajax/p8kemdylbwqyp532eglwat5g
Bayern muenchen Vs Salzburg,03/08/22,https://www.goal.com/en/match/bayern-muenchen-vs-salzburg/przs3ma4pe9kr5amy33ita1g
Liverpool vs Internazionale,03/08/22,https://www.goal.com/en/match/liverpool-vs-internazionale/qbrjrxp7q8m0uokmbdz74r9w
Manchester city Vs Sporting Cp,03/09/22,https://www.goal.com/en/match/manchester-city-vs-sporting-cp/pvbycbk5tqnn2r2yho07c3ys
Real madrid Vs Psg,03/09/22,https://www.goal.com/en/match/real-madrid-vs-psg/qf40zsqozdqaqtt4jel4pjbo
Ajax vs Benfica,03/15/22,https://www.goal.com/en/match/ajax-vs-benfica/pyorp5wblvfj9brf2v64nuhg
Manchester united Vs Atletico Madrid,03/15/22,https://www.goal.com/en/match/manchester-united-vs-atletico-madrid/q58ty222o3okfne2bqrfrml0
Juventus vs Villarreal,03/16/22,https://www.goal.com/en/match/juventus-vs-villarreal/q8gj6kwaxc2o9ejaarx41b10
Lille vs Chelsea,03/16/22,https://www.goal.com/en/match/lille-vs-chelsea/q201rp3fd0d70gnxhgmt09p0
Benfica vs Liverpool,04/05/22,https://www.goal.com/en/match/benfica-vs-liverpool/76m6aq0drov618phf94yy1k44
Manchester city Vs Atletico Madrid,04/05/22,https://www.goal.com/en/match/manchester-city-vs-atletico-madrid/47hdhxceugb4v5zweym1yp3x0
Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4
Villarreal vs Bayern Muenchen,04/06/22,https://www.goal.com/en/match/villarreal-vs-bayern-muenchen/639bn71xnlau0g3ckl1ykcs9g
Bayern muenchen Vs Villarreal,04/12/22,https://www.goal.com/en/match/bayern-muenchen-vs-villarreal/65z8ibz52jh28bhxsg5ieh15g
Real madrid Vs Chelsea,04/12/22,https://www.goal.com/en/match/real-madrid-vs-chelsea/1k6lf96zb9g3tuh5h39gtclqs
Atletico madrid Vs Manchester City,04/13/22,https://www.goal.com/en/match/atletico-madrid-vs-manchester-city/4cddiyrp8qqkqowym4b868owk
Liverpool vs Benfica,04/13/22,https://www.goal.com/en/match/liverpool-vs-benfica/7gyv922x1766s3na0quksnuhg
Manchester city Vs Real Madrid,04/26/22,https://www.goal.com/en/match/manchester-city-vs-real-madrid/4raxbuje9y01f4xrzpj6mhs0k
Liverpool vs Villarreal,04/27/22,https://www.goal.com/en/match/liverpool-vs-villarreal/axyy2j1ldzvxpcdg15fqtgf84
Villarreal vs Liverpool,05/03/22,https://www.goal.com/en/match/villarreal-vs-liverpool/d59h06mlytxu3zzkheyc6m1as
Real madrid Vs Manchester City,05/04/22,https://www.goal.com/en/match/real-madrid-vs-manchester-city/7o4x7apx4ubjb8lepem4suiok
Liverpool vs Real Madrid,05/28/22,https://www.goal.com/en/match/liverpool-vs-real-madrid/7m2bk2lh2utfhh3er60wh1iqc
